k,Team,G,,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,26,,44.2,86.2,0.513,12.6,31.4,0.401,31.6,54.8,0.577,16.8,20.8,0.809,8.6,36.3,44.9,30.9,8.8,8.4,16.4,20.4,117.8
2,Phoenix Suns,27,,39.8,89,0.447,8.6,25.5,0.336,31.2,63.5,0.492,19.2,25.6,0.751,11.3,34.7,46,20.3,7.2,5.1,16.2,22.2,107.3
3,Orlando Magic,26,,40.3,86.5,0.466,11.2,30.3,0.37,29.1,56.2,0.518,15.7,21.2,0.742,8.3,33.6,42,23.5,7.8,5.2,15.3,20.3,107.5
4,Minnesota Timberwolves,26,,39.8,84.5,0.47,8.2,22.7,0.362,31.5,61.8,0.51,19.7,24.8,0.794,10.7,31.5,42.2,22.8,8.7,3.5,14,17.7,107.5
5,Cleveland Cavaliers,25,,40,83.2,0.481,12,32.4,0.37,28,50.7,0.553,19,23.4,0.811,8.3,34.2,42.5,22.9,6.9,4,14.7,19.1,111.1
6,New Orleans Pelicans,25,,41.2,85.5,0.482,10.9,30.2,0.362,30.3,55.3,0.548,16,21.5,0.745,8.7,35.2,44,26.2,7.5,4.5,16.2,20.3,109.4
7,Boston Celtics,26,,37.6,83.7,0.449,11.4,30.7,0.373,26.2,53.1,0.493,17.8,23.1,0.77,9.3,36,45.3,22.8,7.9,4.6,14.2,19.6,104.5
8,Indiana Pacers,25,,41.6,86.8,0.479,10,25.4,0.395,31.6,61.4,0.514,15.2,19.6,0.774,9,33.4,42.4,23.3,8,4.6,14.3,18.5,108.4
9,Utah Jazz,26,,37.6,82.6,0.455,11.8,30.5,0.387,25.8,52.1,0.494,16.2,19.9,0.814,8.6,31.6,40.2,21.8,9.8,5.3,14.9,20.3,103.2
10,Washington Wizards,25,,39,85.3,0.457,9.3,25.5,0.366,29.7,59.8,0.496,18.9,24,0.787,9.8,32.7,42.5,21.9,8,4.4,13.9,21.9,106.2
11,Brooklyn Nets,24,,39.2,88,0.445,12,34.1,0.351,27.2,54,0.504,19.1,26.2,0.729,10.4,35.3,45.7,22.9,7.1,4.3,15.9,21.6,109.4
12,Houston Rockets,23,,39.1,84,0.465,16.2,44,0.368,22.9,40.1,0.572,19.7,24.5,0.803,9.4,35.4,44.8,23,9.2,4.9,16.1,20.9,114
13,Philadelphia 76ers,24,,40,87.8,0.456,10.6,29.5,0.358,29.5,58.3,0.505,17.3,23.8,0.73,12,37.2,49.1,25.7,8.2,5.2,17.4,23.9,108
14,Denver Nuggets,24,,39.5,86.3,0.458,11.2,30.1,0.371,28.4,56.2,0.505,16.9,23.2,0.728,12.1,32.8,44.9,23.1,7.9,4.5,15.6,17.8,107.1
15,Los Angeles Lakers,24,,40.4,88.9,0.454,8.4,26.3,0.319,32,62.6,0.511,16.7,23.8,0.701,10.5,35.8,46.3,22.7,8.4,5.8,17.3,22.3,105.8
16,San Antonio Spurs,25,,38,83.4,0.455,9.2,25,0.37,28.8,58.4,0.492,16,20.3,0.789,10.3,34,44.3,23.3,7.6,6.2,14.4,17.6,101.3
17,Dallas Mavericks,25,,36.9,84.8,0.435,11.7,32.6,0.36,25.2,52.2,0.482,14.8,19.4,0.762,8.3,34,42.3,21.4,6.8,3.6,13.8,19.7,100.3
18,Detroit Pistons,24,,39.4,86.1,0.458,11,29.1,0.376,28.5,57,0.499,14.5,19.5,0.745,10.4,31.7,42.1,22.3,7.9,3.3,14.7,19.8,104.3
19,New York Knicks,24,,39.9,84.8,0.471,8.1,22.8,0.356,31.8,62,0.512,15.9,20.1,0.791,10.9,34,44.9,23.3,6.8,4.6,16.3,20.6,103.8
20,Atlanta Hawks,24,,38.8,85.8,0.452,10.6,27.9,0.379,28.2,57.9,0.487,14.8,18.7,0.788,9.2,31.3,40.5,22.8,9,3.7,16,20.2,102.8
21,Portland Trail Blazers,24,,37.5,85.5,0.439,9.1,24.2,0.375,28.4,61.3,0.464,18.7,23,0.813,10.4,36.5,46.9,18.2,6.5,5.5,15.1,19.7,102.8
22,Toronto Raptors,22,,41.5,85,0.487,11.3,31.9,0.355,30.1,53.1,0.567,17.3,22.1,0.782,8.7,32.9,41.6,23.6,8.5,5.6,14.6,22.5,111.5
23,Oklahoma City Thunder,24,,37.8,86.2,0.439,10,29.8,0.338,27.8,56.5,0.492,16,22.2,0.72,11.7,31.8,43.4,20.9,10.3,4.8,15.3,21.3,101.8
24,Los Angeles Clippers,23,,38.2,84.4,0.452,10.5,29.6,0.355,27.7,54.8,0.505,18.1,24.1,0.751,11.1,31.8,42.9,20.4,7.9,4.5,15.3,21.2,105
25,Charlotte Hornets,23,,37.4,85.3,0.438,8.8,25.2,0.349,28.6,60.2,0.475,21,28.8,0.73,10.3,36.7,47,20.2,6.1,4.4,13.6,18.7,104.6
26,Miami Heat,24,,37.1,82.6,0.449,12,32.6,0.367,25.1,50,0.503,14.1,18.3,0.77,8,33.5,41.4,21.1,7.4,4.8,16.3,20.6,100.2
27,Milwaukee Bucks,23,,38.8,80.9,0.48,8.9,24.3,0.365,29.9,56.6,0.529,16.7,22.3,0.747,7.3,30.7,38,22.3,8.3,5.4,13.7,22.1,103.1
28,Memphis Grizzlies,24,,35.5,79.6,0.446,9.2,27,0.342,26.3,52.6,0.5,17.5,21.9,0.8,7.5,31.3,38.8,20.9,7.3,5.5,14.2,22.4,97.7
29,Sacramento Kings,24,,37.4,84.3,0.443,8.1,21.4,0.378,29.3,62.9,0.466,12.8,17.3,0.738,9.1,30.3,39.4,20.5,8.2,4.2,14.7,19.8,95.6
30,Chicago Bulls,23,,36.3,87.5,0.415,10.8,31.5,0.342,25.6,56,0.457,12.2,16.3,0.747,9.6,34.5,44.1,22,6.7,3.4,14.4,18.7,95.7
,League Average,24,,39,85.2,0.458,10.5,28.7,0.364,28.6,56.4,0.506,16.8,22,0.765,9.7,33.7,43.4,22.6,7.9,4.8,15.2,20.4,105.3
