Team,FG%,3P%,2P%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
San Antonio Spurs,0.436,0.331,0.47,0.760204081632653,9.1,31.4,20.8,7.2,3.9,14.8,19.5,92.9,
Utah Jazz,0.446,0.357,0.48,0.746666666666667,9.3,30.8,19.1,8,4.7,14,19.9,95.9,
Toronto Raptors,0.444,0.373,0.473,0.746606334841629,9.5,31.2,21.7,6.5,5.4,13.3,22,98.2,
Cleveland Cavaliers,0.448,0.347,0.487,0.743362831858407,9.3,31.8,21.4,7.2,4.4,13.3,20.6,98.3,
Miami Heat,0.442,0.347,0.474,0.767441860465116,9.8,31.5,20.2,7.5,4.1,12.9,19.6,98.4,
Atlanta Hawks,0.432,0.338,0.469,0.755656108597285,11.5,35,22,8.6,5,16.1,18.3,99.2,
Los Angeles Clippers,0.434,0.338,0.471,0.749003984063745,11.8,34.9,21.2,7.1,3.2,15.4,22.5,100.2,
Indiana Pacers,0.44,0.334,0.484,0.75,10.7,33.8,20.8,7.7,4.5,15.8,20.4,100.5,
Charlotte Hornets,0.444,0.349,0.485,0.768867924528302,8.9,35.8,23.2,6.7,5.5,13.5,20.4,100.7,
New York Knicks,0.443,0.341,0.479,0.754310344827586,10.9,33.3,20.8,7.2,4.2,11.3,18.5,101.1,
Memphis Grizzlies,0.456,0.365,0.503,0.766536964980545,10.1,33.1,21.9,7,5.7,16.2,21.1,101.3,
Detroit Pistons,0.461,0.355,0.495,0.785714285714286,8.8,33.7,21.5,7.1,4.5,13.4,21.6,101.4,
Boston Celtics,0.441,0.336,0.481,0.757692307692308,11.4,34.6,20.9,7.6,5.5,16.4,21,102.5,
Dallas Mavericks,0.451,0.342,0.5,0.741228070175438,10.6,35.2,22,7.5,4.4,13.9,21.4,102.6,
Oklahoma City Thunder,0.438,0.342,0.474,0.756302521008403,11.3,28.9,21.5,8.8,4.5,13,20.2,102.9,
Chicago Bulls,0.441,0.345,0.474,0.737556561085973,11.8,34.1,22.5,8,5.7,11.9,18.7,103.1,
Milwaukee Bucks,0.454,0.352,0.502,0.769874476987448,11.5,31.5,24.5,8.3,5.6,15.5,19.5,103.2,
Orlando Magic,0.46,0.359,0.503,0.745833333333333,10.1,34.1,23.2,7.6,5.5,15.1,18.3,103.7,
Golden State Warriors,0.435,0.332,0.472,0.759183673469388,11.4,32.5,22.2,8.7,4.1,14.5,19.8,104.1,
Portland Trail Blazers,0.453,0.371,0.484,0.730769230769231,10.6,33.1,21.6,7.7,5.2,13.3,19.5,104.3,
Washington Wizards,0.462,0.371,0.498,0.772151898734177,9.4,34.9,22.5,8.1,4.3,16.2,20.1,104.6,
Denver Nuggets,0.461,0.371,0.498,0.761506276150628,9.7,32.9,23.5,8,6.3,13.7,20.9,105,
Minnesota Timberwolves,0.471,0.355,0.52,0.755555555555556,10.7,31.2,22.6,7.8,5.2,14.9,21.6,106,
Brooklyn Nets,0.479,0.369,0.526,0.76530612244898,10.2,33.2,24.5,8.8,5.2,14.2,18.4,106,
Houston Rockets,0.459,0.361,0.504,0.75609756097561,11.8,32.8,24.6,9,4.9,16.6,22.5,106.4,
New Orleans Pelicans,0.468,0.369,0.51,0.783333333333333,8.9,35.5,23.2,7.3,5.2,13.7,19.9,106.5,
Los Angeles Lakers,0.473,0.347,0.524,0.729957805907173,10.9,35.5,24.7,7.5,5.6,12.6,19.2,106.9,
Phoenix Suns,0.467,0.377,0.505,0.750943396226415,9.9,33.8,22.4,9.5,5.5,14.9,21.6,107.5,
Philadelphia 76ers,0.464,0.359,0.5,0.78544061302682,11.1,36.4,23.4,8.7,5.7,15.1,19.2,107.6,
Sacramento Kings,0.462,0.366,0.508,0.762931034482759,11.3,33.7,24.2,8.8,5.3,16,22,109.1,
League Average,0.452,0.354,0.491,0.756410256410256,10.4,33.3,22.3,7.8,5,14.4,20.3,102.7,
